"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 03 06:13:04 ICT 2023","Sun Sep 03 06:13:04 ICT 2023","15","","Login to Kasiraja Demo Apps: User Success Login to KasirAja Demo Apps","","","","Then url contain dashboard and showing title kasirAja",""
"passed","Sun Sep 03 06:13:04 ICT 2023","Sun Sep 03 06:13:05 ICT 2023","64","","Add New Category Kasiraja Demo Apps: User Successfully Add New Category","","","","Then user get success message displayed",""
"passed","Sun Sep 03 06:13:02 ICT 2023","Sun Sep 03 06:13:04 ICT 2023","1837","","Add New Category Kasiraja Demo Apps: User Successfully Add New Category","","","","Given user already login to dashboard page",""
"passed","Sun Sep 03 06:13:03 ICT 2023","Sun Sep 03 06:13:04 ICT 2023","1042","","Login to Kasiraja Demo Apps: User Success Login to KasirAja Demo Apps","","","","When user input email trianikamila@gmail.com and password triani123@",""
"passed","Sun Sep 03 06:13:04 ICT 2023","Sun Sep 03 06:13:04 ICT 2023","71","","Add New Category Kasiraja Demo Apps: User Successfully Add New Category","","","","When user click kategori list",""
"passed","Sun Sep 03 06:13:04 ICT 2023","Sun Sep 03 06:13:04 ICT 2023","2","","Login to Kasiraja Demo Apps: User Success Login to KasirAja Demo Apps","","","","",""
"passed","Sun Sep 03 06:13:04 ICT 2023","Sun Sep 03 06:13:05 ICT 2023","404","","Login to Kasiraja Demo Apps: User Unsuccessfull Login to KasirAja Demo Apps","","","","Given user already on login page",""
"passed","Sun Sep 03 06:13:05 ICT 2023","Sun Sep 03 06:13:05 ICT 2023","3","","Login to Kasiraja Demo Apps: User Unsuccessfull Login to KasirAja Demo Apps","","","","",""
"passed","Sun Sep 03 06:13:04 ICT 2023","Sun Sep 03 06:13:04 ICT 2023","211","","Add New Category Kasiraja Demo Apps: User Successfully Add New Category","","","","When user input nama anggur and deskripsi buah",""
"passed","Sun Sep 03 06:13:04 ICT 2023","Sun Sep 03 06:13:04 ICT 2023","64","","Add New Category Kasiraja Demo Apps: User Successfully Add New Category","","","","When user click tambah",""
"passed","Sun Sep 03 06:13:05 ICT 2023","Sun Sep 03 06:13:05 ICT 2023","7","","Add New Category Kasiraja Demo Apps: User Successfully Add New Category","","","","",""
"passed","Sun Sep 03 06:13:05 ICT 2023","Sun Sep 03 06:13:05 ICT 2023","529","","Login to Kasiraja Demo Apps: User Unsuccessfull Login to KasirAja Demo Apps","","","","When user input invalid email abcd123 and invalid password abcd123@",""
"passed","Sun Sep 03 06:13:02 ICT 2023","Sun Sep 03 06:13:03 ICT 2023","783","","Login to Kasiraja Demo Apps: User Success Login to KasirAja Demo Apps","","","","Given user already on login page",""
"passed","Sun Sep 03 06:13:05 ICT 2023","Sun Sep 03 06:13:05 ICT 2023","46","","Login to Kasiraja Demo Apps: User Unsuccessfull Login to KasirAja Demo Apps","","","","Then alert message displayed ""email"" must be a valid email",""
